Model Index,A2_PC1,A2_PC2,U2_PC1,U2_PC2,S11_PC1,S11_PC2,damage_type,severity_level
1,-8.28224071198534,2.50190033092166,-18.9265011924815,7.06199819872423,-37.4833118621122,-51.7674058373465,1,0
2,23.2715744354659,-6.43741606281964,16.018615704803,5.76525691542502,42.861692281929,27.3641874875466,1,0
3,19.4815685855673,-4.99127473054931,16.0400221237177,6.08895119512415,47.6143708215323,-36.3806218469382,1,0
4,-18.3841545608984,4.96436281496943,-19.2985900171421,1.95885733588297,-48.1203939221118,56.8613797617999,1,0
5,7.77434650919022,-1.72367581926043,0.381434813252754,-31.7613041692475,2.31796604797505,-6.65757955637694,1,0
6,2.52602362796947,0.574772959106321,-0.118629943209258,-30.2766334342053,-0.473033191892142,14.0676935716613,1,0
7,7.1439419618954,-2.20037418569294,-3.30098701942752,44.5882328442662,3.06425757256859,-17.7483543862102,1,0
8,1.13078153724302,-0.243658953195232,-3.14449353130153,38.3245119941456,-0.049471696559401,6.41605131252218,1,0
9,18.1270129341361,-5.2249556230899,22.2616629223207,7.39175490844581,-5.60298468462421,-3.84979514916231,1,0
10,25.1890079203479,-7.43814193887462,29.4364934844687,7.33079339726242,-0.978411964905982,-7.64963173200944,1,0
11,27.6170491540405,-8.12037400689495,29.938539583911,7.05191544557767,18.6550350977898,-2.03255110494845,1,0
12,23.8473380553217,-6.94689522928231,29.4281716893037,6.87991506085801,-2.4116291662693,4.26775266945649,1,0
13,16.2220962452777,-4.51108960395007,22.2667486443024,7.3162551396026,-6.17031742190249,2.34846332109482,1,0
14,-12.3549173829773,3.69751826457818,-19.2282029714666,2.89494982285456,-40.1640976097013,2.92661083439781,1,0
15,-11.6780753774461,4.09355929888186,-18.9656004458454,6.12839879398809,-45.4423505355855,2.1676277643594,1,0
16,21.3307310663212,-5.6878142348731,16.4947264540542,3.67143917830403,42.4253353982135,-3.16849390586292,1,0
17,21.4175420665124,-5.74131947778961,15.5758502250664,8.18369810322609,48.0257791339701,-5.84727410014267,1,0
18,17.4242443601213,-4.6934456668073,23.1259621249857,-7.63158167794498,-5.94636140131958,-0.992589161696152,1,0
19,24.6070527222958,-7.12933724957443,29.8221001773736,-1.75790375483344,-1.27491028311744,0.242762857057805,1,0
20,25.6652567046027,-7.56722457554513,29.6078498196822,7.27484748619544,6.61770295329447,2.55734017374239,1,0
21,24.1877847255975,-6.97483608508484,22.4148004082499,12.5124252520953,24.2491605200717,4.09563715039714,1,0
22,25.5054010180457,-7.22844324763065,23.430388582244,-0.374965180268419,28.8881723244593,17.4980448148257,1,0
23,0.687892152591287,-0.283254191678137,0.473015811543776,22.8969108592858,-26.5182613906114,28.1828615793686,1,0
24,38.8634737842626,36.3847727453208,40.0918017972011,6.8744623712835,-9.27343507495781,0.1004626341648,1,0
25,38.9034342472322,36.4044191927002,40.0858406082182,6.97562404642043,-9.32462104900035,0.0406518084248886,1,0
26,29.0751682016201,-8.85796045412084,39.1306949710593,7.72835681553919,-2.4849395326423,1.42950118997037,1,0
27,29.0654524218675,-8.86448629292341,39.1342730869237,7.66581370446675,-2.46063862672916,1.42262553381405,1,0
28,29.0620612988403,-8.8461910484832,39.1322410477695,7.64043727747974,-2.38890243064385,-3.94304214230131,1,0
29,29.071746506425,-8.84330013761788,39.1285366139437,7.70476452238613,-2.41376843283502,-3.94353778381796,1,0
30,39.463218292752,35.6535975832278,40.1244352217719,7.89889689257128,-9.47962681929462,12.6989581557202,1,0
31,39.479949839042,35.6614880205558,40.1186796413932,7.99595458960426,-9.53069438189629,12.6451919740554,1,0
32,5.22824308977307,-1.10375070215047,3.39349156492196,-27.9529340875678,-18.3129487998449,-29.3805183870588,1,0
33,24.3113719953109,-6.85660404514199,23.4947132563637,-8.78814432810791,17.9852342663509,18.0609714485713,1,0
34,23.6586281468568,-6.5170240221932,23.1675500549302,-5.68691174196185,31.5183258926472,-11.4059030976056,1,0
35,4.68960317275398,-0.404556498422731,6.6752685464503,-25.6472217310687,-24.9130771235742,29.4463556635436,1,0
36,0.960792148659597,0.889191560102197,3.37672177092839,-28.5637502670632,-27.5575273696536,27.6748774770253,1,0
37,23.4403009751041,-6.59492255735558,22.830850572638,18.8291359436838,34.7076528776834,-26.9840087428985,1,0
38,8.15943003339627,-2.66853556734592,3.73812609169909,39.391106792383,-22.1664229978661,-29.4864331443291,1,0
39,0.662815100709225,0.657678720475413,2.47863309448694,-13.9424898568058,-26.5051715949248,27.8853155952379,1,0
40,21.7029766821343,-5.97891803851614,22.6505993274812,2.26653045289681,22.0267962509632,-11.1170673707122,1,0
41,8.21400686870279,-2.63046679092509,4.18098679895705,30.0201567546101,-21.8039284384,-27.0392818137393,1,0
42,-31.3550239532711,-145.668807914955,-1.36291924913828,8.80456900522876,18.2065503484926,7.92930834335711,1,0
43,-89.0380906688116,28.7157161032343,-100.822809779724,5.15306125702568,-86.5071007000723,-121.603673267145,1,0
44,-85.7846961410676,27.1575089365038,-100.871876271568,5.16617574300816,-92.2527896493138,120.930883598439,1,0
45,-32.4228044499539,-144.814189594444,-1.38815206002764,9.16675802964147,22.2618639590035,-53.0103465472892,1,0
46,-51.8174112129338,-152.019964197,0.402427991215814,-25.4802515662877,21.7821880407337,-22.7121162462393,1,0
47,-53.0301473198534,-152.862320886209,-3.94010078572109,43.4933329627235,22.7272026190396,-26.4558058901931,1,0
48,-4.48540339356866,1.67326310808168,-2.49228257737796,9.16853837286611,-1.97427279814711,-1.40737342938661,1,0
49,-90.231296017271,28.4889842461513,-102.601523563294,4.93204145457675,-112.101910607809,132.491552040824,1,0
50,-133.027384634378,44.1404647178211,-196.174111010301,0.145146172797915,425.691933905758,-240.669004117794,1,0
51,-138.729693384849,46.1974177441814,-196.197619139009,1.33639686690885,394.309371546262,294.713242667283,1,0
52,-114.808211917191,37.4709104919885,-102.559191484103,5.35075636744278,-92.0773467241468,-146.84190260749,1,0
53,-28.7494223858018,10.4840461834325,-2.63672897201466,6.85178895227213,-1.39262691339242,-2.67697122393508,1,0
54,28.9387014272637,-8.8041115541759,38.4564688012482,7.65159026341128,16.1770888999997,10.6145648043179,1,0
55,28.9288959808069,-8.81405522523258,38.458151444855,7.67515318249649,15.3857519821406,-3.98797014712339,1,0
56,28.7946071362033,-8.74015572762266,37.7964268797719,7.64312734970688,31.7464437029412,7.14142918550739,1,0
57,29.096349082808,-8.85815608682545,39.1826350945062,7.68539341919429,-0.792855682509002,-2.1924414730293,1,0
58,-36.1540448651101,11.9964660813896,-47.5329601380416,10.7389214632596,6.55255659071316,-16.2489639568524,1,0
59,-27.6980376224963,8.66879664946313,-47.9125083516778,5.94373038693187,2.28949538409461,8.1083408480585,1,0
60,-17.3319742277872,6.25612723571136,-29.7319893276721,-60.1007530220783,-13.2450104441531,-21.6289335253144,1,0
61,-1.62934414680488,1.58664669880448,-13.0165406155845,-43.8831775180203,20.9400947476657,26.1987696789541,1,0
62,-2.89372483979714,0.643565587024229,-18.8395095865746,55.593720592541,24.1872581018643,9.21275079852944,1,0
63,-18.977897338078,5.07198876026371,-37.081861893302,73.1070504448144,-21.7505873730059,-21.7851223705148,1,0
64,-24.7390271770008,9.61843641432953,-29.5936022570125,-55.8966749962623,-23.0702959889471,18.3704283558436,1,0
65,-7.50249342764537,4.03654815785838,-13.2760366361062,-36.3256801091546,24.2330571656867,-20.6048307700762,1,0
66,-27.4924265651302,7.90762827729885,-37.2073308558805,68.5956684911077,-18.266993815303,21.8824267599988,1,0
67,-9.28152280009304,3.00886062953199,-18.1813055650247,53.1532434591312,29.9107857321064,-31.9949373160561,1,0
68,-17.221609391771,7.06544111680962,-8.66725265643869,-33.1518986243182,-18.2848550436613,-31.5250249234812,1,0
69,-17.221609391771,7.06544111680962,-8.66725265643869,-33.1518986243182,-18.2848550436613,-31.5250249234812,1,0
70,-42.2472153828593,16.4431310227565,-39.895400561123,-56.4168037901984,-18.2582635163397,-55.482167931956,1,0
71,-32.7082558013287,12.8580448786987,-39.7496585423673,-58.8012249926635,-35.2271160244347,49.6522602887651,1,0
72,-9.21599039846995,4.15834925191391,-8.37202783642075,-36.642202801387,-24.6809531259666,24.4900572901729,1,0
73,-19.5660359506408,5.95498999614341,-12.8451664859639,47.0665077365129,-20.5052892137193,-22.7236452422847,1,0
74,-35.7249229885207,11.0541626174354,-46.765455273223,69.82241407035,-29.6854785735118,46.8941550588504,1,0
75,-3.72034158478744,3.07095193306614,7.43553128405602,2.26984069296473,21.7775057074812,-28.157434214279,1,0
76,-1.79685275384282,2.33240674860311,6.97663807890859,4.36637202074885,22.1922275621157,2.36529796832637,1,0
77,-17.7854694385808,6.69280425448639,-11.2546827864671,21.8727631225766,-23.8491515560949,-28.7555386913483,1,0
78,-21.8260735734249,7.85973250979799,-11.5837121405499,17.7054830792394,-26.5431694659408,25.9266885104782,1,0
79,-44.3042856449151,17.0658280216915,-40.4809151505978,-37.1829973576345,-12.2586818232571,-99.6738842014622,1,0
80,-44.3042856449151,17.0658280216915,-40.4809151505978,-37.1829973576345,-12.2586818232571,-99.6738842014622,1,0
81,16.5809058683213,18.2617319099872,9.28398577116849,35.0372755577309,-26.2234044980353,-18.0819814986356,1,0
82,16.6236177166441,18.2476513105321,9.28390189985803,35.0373197446646,-26.223537974354,-18.0820232386294,1,0
83,16.5811960069542,18.2683999145773,9.28698327759033,34.988659993652,-26.1994388230793,-18.0515405401835,1,0
84,16.619315655555,18.2528260044636,9.28686807459908,34.9885872114557,-26.1995109504473,-18.051583359008,1,0
85,10.6345438799121,-3.02426266898663,11.4057495238469,-20.1536566847683,-17.0871337902233,-26.4781966618528,1,0
86,10.6291502589861,-2.98953360647297,11.4161957837269,-20.13911670222,-17.3324153579454,-26.7305300388589,1,0
87,10.6353950882094,-2.98543711148205,11.4151714486258,-20.1235162897019,-17.3433006599039,-26.7286131212652,1,0
88,10.6389319818441,-3.02220889049144,11.4029644245353,-20.1066221763083,-17.0995735979145,-26.4677860160488,1,0
89,32.6535417622536,14.0318498187106,28.5972588913462,-3.82111376334132,13.5944172807247,27.0445170764556,1,0
90,30.5998035340462,14.6684670783871,27.990578903454,15.3872641320637,19.4270357092175,-17.443325542504,1,0
91,24.1639636257449,-6.94254280979824,27.5158977040524,15.2799310079069,22.7790625174569,-23.2400883295567,1,0
92,24.1693796563847,-6.97730461305768,27.5054392584786,15.2653597006328,23.0245038187465,-22.9875902898512,1,0
93,13.6961986939684,20.2331244479156,11.8391998940257,-20.9661813303514,-28.648002900126,32.995376711966,1,0
94,13.696941222175,20.2269263031617,11.8361605138787,-20.9174234955824,-28.6719562935621,32.9649886216321,1,0
95,13.7346067935415,20.2173184861119,11.8391051639315,-20.9662438295741,-28.6480886604371,32.9953914674651,1,0
96,13.7397942431686,20.212942286297,11.8360743076791,-20.917333848519,-28.6720687769159,32.9648663692537,1,0
97,7.22697593098108,-1.41813702586034,11.3527990247838,-21.0866292869243,-25.0131388163857,24.4870098607088,1,0
98,7.25399906675428,-1.39423651760949,11.3651455670255,-21.0993436190632,-25.2664477893923,24.7695649478976,1,0
99,7.23144676864022,-1.4151695518883,11.351893022784,-21.068035828634,-25.0324998119416,24.4960558525283,1,0
100,7.23144676864022,-1.4151695518883,11.351893022784,-21.068035828634,-25.0324998119416,24.4960558525283,1,0
101,7.25838425774198,-1.39353098699658,11.3625561272821,-21.0531462688458,-25.2731717981835,24.7653605672203,1,0
102,13.3851210564454,20.5982037714488,11.8199981902041,-21.4250758073543,-28.5545107854129,26.5197292881121,1,0
103,13.4817804092787,20.5640161985363,11.8198309310008,-21.4251766455364,-28.5551148966762,26.5199527009471,1,0
104,13.4817804092787,20.5640161985363,11.8198309310008,-21.4251766455364,-28.5551148966762,26.5199527009471,1,0
105,13.3676955513422,20.5955539090729,11.8231044737108,-21.4761029028351,-28.5305936177522,26.5502266301482,1,0
106,13.4695482493599,20.5648080143198,11.8229174155215,-21.4759923392051,-28.5312319374701,26.5503528857187,1,0
107,26.2294587448221,-7.5761638625204,28.1233087056701,-3.92814985375399,16.9422097344452,21.2516741873857,1,0
108,26.2347452881761,-7.61091091335125,28.1128438663467,-3.9427282747779,17.187884858115,21.5040806804211,1,0
109,26.238906322228,-7.60876681679873,28.110100234019,-3.89559131872751,17.17525503135,21.5137726463152,1,0
110,26.2353135044062,-7.57202583202854,28.1223321058975,-3.91253245495921,16.9314600936984,21.253215274231,1,0
