Model_Index,mean_A2,std_A2,var_A2,median_A2,skew_A2,damage_type,severity_level,mean_S11,std_S11,var_S11,median_S11,skew_S11,mean_U2,std_U2,var_U2,median_U2,skew_U2
16,-0.0015652778644661,0.3063638987037689,0.0938588384289732,0.0,-1.4139155939191297,0,0,1868964.176459563,15121885.72687452,228671427936651.28,158355.885,0.0100725635226816,-0.0001471951100163,0.0007433366740407,5.52549410973977e-07,-0.0002098890254274,1.724671134775595
17,-0.001565390317905,0.3063503092583882,0.0938505119827101,0.0,-1.4138277554873382,0,0,1868981.4699770536,15121878.28846402,228671202971119.6,158355.975,0.0100718065196283,-0.0001472233684961,0.0007433266856424,5.525345615882404e-07,-0.0002099674311466,1.7246125969910282
18,-0.0015653903214376,0.3063503092578677,0.0938505119823911,0.0,-1.4138277554594745,0,0,1868981.4700721567,15121878.288383534,228671202968685.3,158355.975,0.0100718065023839,-0.0001472233684612,0.0007433266857319,5.525345617212697e-07,-0.0002099674311466,1.724612597152633
19,-0.0014166991344944,0.30501531981033,0.0930343453189978,0.0,-1.3792925408504062,0,0,1869012.526673275,15121868.463789033,228670905836137.28,158213.89,0.010077820298238,-0.0001471875577194,0.0007431952012316,5.523391071336906e-07,-0.0002098954137181,1.7244170298111683
20,-0.0014166991205887,0.3050153198163221,0.0930343453226532,0.0,-1.3792925407563694,0,0,1869012.5262325385,15121868.464053988,228670905844150.5,158213.89,0.0100778203504044,-0.0001471875577025,0.0007431952012222,5.52339107119832e-07,-0.0002098954137181,1.7244170298272024
21,-0.0014167014163301,0.3050153961159381,0.0930343918677626,0.0,-1.379293746562348,0,0,1869012.530737836,15121868.458578166,228670905678541.2,158213.995,0.0100778192590126,-0.0001471875618244,0.0007431951965073,5.523391001115359e-07,-0.0002098954137181,1.72441703346479
22,-0.0014167014203086,0.3050153961307952,0.0930343918768259,0.0,-1.3792937464066335,0,0,1869012.5297462335,15121868.459300729,228670905700394.1,158213.995,0.0100778193429666,-0.0001471875617896,0.0007431951965922,5.523391002378268e-07,-0.0002098954137181,1.7244170335678983
23,-0.0015652676054599,0.3063597805341517,0.0938563151289336,0.0,-1.413943506583957,0,0,1868977.9782699903,15121888.124274818,228671500443083.75,158356.07,0.0100787345783874,-0.0001471480215186,0.0007433088195139,5.525080011672424e-07,-0.0002098844124702,1.725060884322833
24,-0.0015652676336894,0.3063597805762079,0.0938563151547022,0.0,-1.413943506597602,0,0,1868977.978271824,15121888.124260126,228671500442639.4,158356.07,0.0100787345836284,-0.0001471480215186,0.0007433088195139,5.525080011672436e-07,-0.0002098844124702,1.7250608843228237
25,-0.001565267572471,0.3063597818919047,0.0938563159608554,0.0,-1.413943390580349,0,0,1868977.9778375244,15121888.124403564,228671500446977.56,158356.07,0.0100787356833564,-0.0001471480194482,0.0007433088228701,5.525080061566654e-07,-0.0002098844124702,1.7250608838799149
26,-0.0015652675584795,0.306359781882794,0.0938563159552731,0.0,-1.4139433908107988,0,0,1868977.9777159493,15121888.124490168,228671500449596.75,158356.07,0.0100787356944651,-0.0001471480194425,0.0007433088228728,5.525080061606858e-07,-0.0002098844124702,1.7250608838432175
27,-0.0015652669538115,0.3063597895155462,0.0938563206320098,0.0,-1.4139431201963248,0,0,1868977.9832063909,15121888.129645417,228671500605510.9,158356.07,0.01007873671647,-0.0001471480220061,0.000743308818974,5.525080003646031e-07,-0.0002098843397106,1.7250608774098375
28,-0.0015652669781755,0.3063597895541601,0.0938563206556692,0.0,-1.413943120152294,0,0,1868977.9823657423,15121888.130111843,228671500619617.5,158356.07,0.0100787367730474,-0.0001471480220067,0.0007433088189739,5.525080003644078e-07,-0.0002098843397106,1.7250608774128458
29,-0.0015652668448646,0.3063597927557034,0.0938563226173175,0.0,-1.4139430975440097,0,0,1868977.9824994905,15121888.129842233,228671500611463.44,158356.07,0.0100787365625928,-0.0001471480229166,0.0007433088163268,5.525079964292457e-07,-0.0002098843542626,1.7250608570089634
30,-0.001565266804026,0.3063597929295594,0.0938563227238425,0.0,-1.4139430870785967,0,0,1868977.983076316,15121888.129320366,228671500595680.25,158356.07,0.0100787365424078,-0.0001471480229166,0.0007433088163268,5.525079964292453e-07,-0.0002098843542626,1.7250608570089678
31,-0.0014167857468154,0.3050126056713416,0.0930326896184213,0.0,-1.3795066432590175,0,0,1869012.482931732,15121868.493215265,228670906726096.47,158075.53,0.0100778257185841,-0.0001471872310825,0.0007431967080089,5.523413467952692e-07,-0.0002098935656249,1.7244338580289194
32,-0.0014167857470875,0.3050126056869627,0.0930326896279506,0.0,-1.3795066431310783,0,0,1869012.482238496,15121868.49385921,228670906745571.75,158075.53,0.0100778257329641,-0.0001471872310828,0.0007431967080088,5.523413467951838e-07,-0.0002098935656249,1.7244338580303729
33,-0.0014167760177399,0.3050125313864802,0.0930326443027885,0.0,-1.3795058117200332,0,0,1869012.486303099,15121868.495465944,228670906794165.47,158075.46000000002,0.0100778293271468,-0.0001471872338623,0.0007431967032518,5.523413397244652e-07,-0.0002098935656249,1.7244338378296502
34,-0.0014167759599154,0.3050125314933402,0.0930326443679758,0.0,-1.379505798111775,0,0,1869012.485723612,15121868.495926486,228670906808094.0,158075.46000000002,0.0100778293704236,-0.0001471872338623,0.0007431967032518,5.523413397244657e-07,-0.0002098935656249,1.7244338378296604
35,-0.0015668905551892,0.3062547862383122,0.0937919940938742,0.0,-1.4130346502110154,0,0,1868987.568768642,15121846.744362792,228670248959995.6,157929.18,0.0100652924625971,-0.0001475474422305,0.0007433612119619,5.525858914495608e-07,-0.0002102685684803,1.7232614660987031
36,-0.0015668905229948,0.3062547865101461,0.0937919942603751,0.0,-1.4130346357195256,0,0,1868987.568864126,15121846.744324658,228670248958842.28,157929.18,0.0100652924424864,-0.0001475474422315,0.0007433612119616,5.525858914491302e-07,-0.0002102685684803,1.7232614661048162
37,-0.0015667627728363,0.3063098105258127,0.0938257000243592,0.0,-1.4136119720269282,0,0,1868972.9272717,15121991.19422044,228674617678080.53,157800.6,0.0100843796365238,-0.0001473403406588,0.000743332215142,5.525427820679771e-07,-0.0002100210404023,1.7241465861174332
38,-0.0015667627547156,0.3063098107120393,0.0938257001384453,0.0,-1.41361197467487,0,0,1868972.92753326,15121991.19402615,228674617672204.44,157800.6,0.0100843796147889,-0.0001473403406587,0.000743332215142,5.525427820680189e-07,-0.0002100210404023,1.7241465861167091
39,-0.0017532072857147,0.3068199533136485,0.0941384837513894,0.0,-1.367324842357149,0,0,1868920.769844303,15121884.01855074,228671376270500.28,154534.125,0.0100820481396336,-0.0001466725726487,0.0007449080845992,5.548880545013864e-07,-0.0002100332640111,1.7252472129988716
40,-0.0017532072733458,0.3068199533659713,0.0941384837834967,0.0,-1.3673248408989356,0,0,1868920.7701805432,15121884.018336885,228671376264032.47,154534.125,0.0100820481019332,-0.0001466725726487,0.0007449080845992,5.548880545013882e-07,-0.0002100332640111,1.725247212998869
41,-0.0015703225818121,0.3062354291658289,0.0937801380763794,0.0,-1.4126913126682723,0,0,1869033.7459041984,15122763.684632482,228697981461239.03,156859.62,0.0099810176752347,-0.0001478052854109,0.0007434475463281,5.527142541412906e-07,-0.0002105020394083,1.721130434530628
42,-0.0015703225637181,0.3062354292908907,0.0937801381529761,0.0,-1.412691304615837,0,0,1869033.7450697485,15122763.68536796,228697981483483.97,156859.62,0.0099810177090793,-0.0001478052854112,0.000743447546328,5.527142541412038e-07,-0.0002105020394083,1.7211304345320837
43,-0.0016483864577705,0.3078595373656722,0.0947774947470057,0.0,-1.3828054200324962,0,0,1869139.4379026876,15121838.82864792,228670009559603.97,157241.175,0.0101627106823047,-0.0001478980894311,0.0007447351589489,5.54630456974782e-07,-0.0002105126768583,1.7452234706435148
44,-0.0016483864734974,0.3078595373565004,0.0947774947413584,0.0,-1.3828054200992468,0,0,1869139.437530055,15121838.828753948,228670009562810.56,157241.175,0.0101627106806997,-0.0001478980895009,0.0007447351586971,5.546304565996471e-07,-0.0002105126768583,1.745223469036429
45,-0.0015679449033574,0.3062739580755827,0.0938037373952838,0.0,-1.412858320303065,0,0,1868975.115832048,15128100.924595896,228859437584759.2,157124.11,0.0095739716262295,-0.0001477306537392,0.000743509912964,5.528069906757847e-07,-0.0002102724829455,1.7206192019620346
46,-0.0015679449430816,0.3062739581604466,0.093803737447267,0.0,-1.4128583250508089,0,0,1868975.1164081383,15128100.924019843,228859437567330.1,157124.11,0.0095739716175623,-0.0001477306537403,0.0007435099129637,5.528069906753833e-07,-0.0002102724829455,1.7206192019680382
47,-0.0015660135762721,0.3063010433652047,0.093820329166613,0.0,-1.4129499879293943,0,0,1868716.889248575,15133207.629754422,229013973165257.44,157658.78,0.0094183889124591,-0.0001477100081454,0.0007436539599753,5.53021212187022e-07,-0.0002101311838487,1.719830736245595
48,-0.0015660136180292,0.3063010431481415,0.0938203290336396,0.0,-1.4129500011396552,0,0,1868716.888648654,15133207.630318351,229013973182325.6,157658.78,0.0094183889264341,-0.0001477100081454,0.0007436539599753,5.530212121870219e-07,-0.0002101311838487,1.7198307362456022
49,-0.0015660099853915,0.3063012914333898,0.0938204811337624,0.0,-1.412947300425381,0,0,1868717.001112901,15133207.968455106,229013983416513.1,157822.035,0.0094186201850499,-0.0001477100285702,0.0007436539351912,5.530211753253897e-07,-0.0002101390709867,1.719830824448554
50,-0.0015660099698772,0.3063012916212185,0.0938204812488267,0.0,-1.4129472987772185,0,0,1868717.001839305,15133207.96780148,229013983396730.2,157822.035,0.0094186201594516,-0.0001477100285702,0.0007436539351912,5.530211753253904e-07,-0.0002101390709867,1.7198308244485456
51,-0.001567932102059,0.3062746825330577,0.0938041811607252,0.0,-1.412845574319233,0,0,1868975.428853744,15128100.547303688,228859426169330.1,157197.515,0.0095737281305915,-0.0001477307949683,0.0007435099285224,5.528070138114504e-07,-0.0002102994039887,1.72061834667212
52,-0.0015679321135423,0.3062746825475167,0.0938041811695821,0.0,-1.4128455738974697,0,0,1868975.4294917977,15128100.546806224,228859426154278.75,157197.515,0.0095737280885158,-0.0001477307949686,0.0007435099285223,5.528070138113614e-07,-0.0002102994039887,1.7206183466735825
53,-0.0015703574378274,0.3062408000301027,0.0937834276030773,0.0,-1.4126055149438523,0,0,1869033.4285443064,15122761.967957595,228697929539504.7,156746.195,0.009980022407333,-0.0001478060257108,0.0007434472147102,5.527137610604587e-07,-0.0002105323073919,1.7211258561119704
54,-0.0015703574841064,0.306240799862437,0.0937834275003852,0.0,-1.4126055252732044,0,0,1869033.4291570715,15122761.967519475,228697929526253.56,156746.195,0.0099800223546993,-0.0001478060257463,0.0007434472146455,5.527137609642788e-07,-0.0002105323073919,1.7211258562226524
55,-0.0016486425280304,0.3078601802581705,0.0947778905885932,0.0,-1.3828301587645886,0,0,1869139.367859378,15121838.84805415,228670010146519.7,157532.57,0.0101627410136083,-0.0001478978539118,0.0007447354133725,5.54630835931252e-07,-0.0002105099410982,1.7452197526592528
56,-0.0016486424991612,0.3078601802402743,0.0947778905775741,0.0,-1.3828301591668526,0,0,1869139.3682293615,15121838.84771255,228670010136188.44,157532.57,0.0101627410123885,-0.0001478978539158,0.0007447354133708,5.546308359286561e-07,-0.0002105099410982,1.7452197526843607
